liaison_id	acte_id	act_number	register	folio_norm	image_id	image_order	zone_id	class_id	class_name	role	zone_order_in_image	zone_order_global	abs_x	abs_y	abs_w	abs_h	statut_zone	statut_structure
1	10433.0	1	JJ119	7r	15	1	13.0	1.0	AI	AI	61.0	1.0	0.0	61.0	4024.0	4687.0	valide	valide_AI_AM_AF
2	10433.0	1	JJ119	7r	16	2	14.0	3.0	AM	AM	93.0	2.0	362.0	93.0	3794.0	4728.0	valide	valide_AI_AM_AF
3	10433.0	1	JJ119	7r	17	3	15.0	3.0	AM	AM	39.0	3.0	0.0	39.0	4132.0	4739.0	valide	valide_AI_AM_AF
4	10433.0	1	JJ119	7r	18	4	16.0	3.0	AM	AM	201.0	4.0	353.0	201.0	3802.0	4654.0	valide	valide_AI_AM_AF
5	10433.0	1	JJ119	7r	19	5	17.0	3.0	AM	AM	114.0	5.0	0.0	114.0	4149.0	4678.0	valide	valide_AI_AM_AF
6	10433.0	1	JJ119	7r	20	6	18.0	3.0	AM	AM	197.0	6.0	363.0	197.0	3793.0	4665.0	valide	valide_AI_AM_AF
7	10433.0	1	JJ119	7r	21	7	19.0	3.0	AM	AM	115.0	7.0	0.0	115.0	4099.0	4702.0	valide	valide_AI_AM_AF
8	10433.0	1	JJ119	7r	22	8	20.0	3.0	AM	AM	208.0	8.0	370.0	208.0	3786.0	4674.0	valide	valide_AI_AM_AF
9	10433.0	1	JJ119	7r	23	9	21.0	3.0	AM	AM	101.0	9.0	0.0	101.0	3988.0	4661.0	valide	valide_AI_AM_AF
10	10433.0	1	JJ119	7r	24	10	22.0	2.0	AF	AF	209.0	10.0	339.0	209.0	3817.0	1703.0	valide	valide_AI_AM_AF
11	10434.0	2	JJ119	11v	24	1	23.0	1.0	AI	AI	1906.0	1.0	371.0	1906.0	3786.0	2963.0	valide	valide_AI_AM_AF
12	10434.0	2	JJ119	11v	25	2	24.0	2.0	AF	AF	21.0	2.0	0.0	21.0	4465.0	1058.0	valide	valide_AI_AM_AF
13	10435.0	3	JJ119	12r	25	1	25.0	1.0	AI	AI	1080.0	1.0	0.0	1080.0	3984.0	3699.0	valide	valide_AI_AM_AF
14	10435.0	3	JJ119	12r	26	2	26.0	2.0	AF	AF	192.0	2.0	298.0	192.0	3858.0	1376.0	valide	valide_AI_AM_AF
15	10436.0	4	JJ119	12v	26	1	27.0	1.0	AI	AI	1551.0	1.0	366.0	1551.0	3789.0	3244.0	valide	valide_AI_AM_AF
16	10436.0	4	JJ119	12v	27	2	28.0	2.0	AF	AF	49.0	2.0	0.0	49.0	3968.0	2279.0	valide	valide_AI_AM_AF
17	10437.0	5	JJ119	13r	27	1	29.0	0.0	AC	AC	2319.0	1.0	0.0	2319.0	3977.0	1559.0	valide	
18	10438.0	6	JJ119	13r	27	1	30.0	1.0	AI	AI	3876.0	1.0	0.0	3876.0	3956.0	814.0	valide	valide_AI_AM_AF
19	10438.0	6	JJ119	13r	28	2	31.0	2.0	AF	AF	151.0	2.0	372.0	151.0	3784.0	4684.0	valide	valide_AI_AM_AF
20	10439.0	7	JJ119	14r	29	1	32.0	0.0	AC	AC	40.0	1.0	0.0	40.0	4308.0	3405.0	valide	
21	10440.0	8	JJ119	14r	29	1	33.0	1.0	AI	AI	3437.0	1.0	0.0	3437.0	4465.0	1256.0	valide	valide_AI_AM_AF
22	10440.0	8	JJ119	14r	30	2	34.0	2.0	AF	AF	182.0	2.0	346.0	182.0	3810.0	1951.0	valide	valide_AI_AM_AF
23	10441.0	9	JJ119	14v	30	1	35.0	0.0	AC	AC	2129.0	1.0	369.0	2129.0	3787.0	2646.0	valide	
24	10442.0	10	JJ119	15r	31	1	36.0	0.0	AC	AC	46.0	1.0	0.0	46.0	4270.0	2238.0	valide	
25	10443.0	11	JJ119	15r	31	1	37.0	0.0	AC	AC	2275.0	1.0	0.0	2275.0	4261.0	2428.0	valide	
26	10444.0	12	JJ119	15v	32	1	38.0	0.0	AC	AC	212.0	1.0	245.0	212.0	3911.0	2641.0	valide	
27	10445.0	13	JJ119	15v	32	1	39.0	1.0	AI	AI	2853.0	1.0	406.0	2853.0	3750.0	1922.0	valide	valide_AI_AM_AF
28	10445.0	13	JJ119	15v	33	2	40.0	2.0	AF	AF	151.0	2.0	0.0	151.0	3845.0	2475.0	valide	valide_AI_AM_AF
29	10446.0	14	JJ119	16r	33	1	41.0	1.0	AI	AI	2620.0	1.0	0.0	2620.0	3842.0	2074.0	valide	valide_AI_AM_AF
30	10446.0	14	JJ119	16r	34	2	42.0	2.0	AF	AF	54.0	2.0	345.0	54.0	3811.0	2541.0	valide	valide_AI_AM_AF
31	10447.0	15	JJ119	16v	34	1	43.0	1.0	AI	AI	2595.0	1.0	377.0	2595.0	3779.0	2171.0	valide	valide_AI_AM_AF
32	10447.0	15	JJ119	16v	35	2	44.0	3.0	AM	AM	18.0	2.0	0.0	18.0	4063.0	4676.0	valide	valide_AI_AM_AF
33	10447.0	15	JJ119	16v	36	3	45.0	2.0	AF	AF	110.0	3.0	330.0	110.0	3826.0	2252.0	valide	valide_AI_AM_AF
34	10448.0	16	JJ119	17v	36	1	46.0	1.0	AI	AI	2361.0	1.0	367.0	2361.0	3789.0	2411.0	valide	valide_AI_AM_AF
35	10448.0	16	JJ119	17v	37	2	47.0	2.0	AF	AF	155.0	2.0	0.0	155.0	3801.0	2479.0	valide	valide_AI_AM_AF
36	10449.0	17	JJ119	18r	37	1	48.0	1.0	AI	AI	2621.0	1.0	0.0	2621.0	3805.0	2005.0	valide	valide_AI_AM_AF
37	10449.0	17	JJ119	18r	38	2	49.0	2.0	AF	AF	72.0	2.0	155.0	72.0	4001.0	1124.0	valide	valide_AI_AM_AF
38	10450.0	18	JJ119	18v	38	1	50.0	0.0	AC	AC	1189.0	1.0	348.0	1189.0	3807.0	2466.0	valide	
39	10451.0	19	JJ119	18v	38	1	51.0	1.0	AI	AI	3647.0	1.0	372.0	3647.0	3784.0	1112.0	valide	valide_AI_AM_AF
40	10451.0	19	JJ119	18v	39	2	52.0	2.0	AF	AF	30.0	2.0	0.0	30.0	4465.0	2298.0	valide	valide_AI_AM_AF
41	10452.0	20	JJ119	19r	39	1	53.0	1.0	AI	AI	2315.0	1.0	0.0	2315.0	4453.0	2385.0	valide	valide_AI_AM_AF
42	10452.0	20	JJ119	19r	40	2	54.0	2.0	AF	AF	38.0	2.0	372.0	38.0	3784.0	1573.0	valide	valide_AI_AM_AF
43	10453.0	21	JJ119	19v	40	1	55.0	0.0	AC	AC	1613.0	1.0	361.0	1613.0	3795.0	2320.0	valide	
44	10454.0	22	JJ119	19v	40	1	56.0	1.0	AI	AI	3930.0	1.0	361.0	3930.0	3796.0	829.0	valide	valide_AI_AM_AF
45	10454.0	22	JJ119	19v	41	2	57.0	2.0	AF	AF	157.0	2.0	0.0	157.0	3798.0	3171.0	valide	valide_AI_AM_AF
46	10455.0	23	JJ119	20r	41	1	58.0	1.0	AI	AI	3329.0	1.0	0.0	3329.0	3810.0	1306.0	valide	valide_AI_AM_AF
47	10455.0	23	JJ119	20r	42	2	59.0	2.0	AF	AF	97.0	2.0	44.0	97.0	4054.0	3004.0	valide	valide_AI_AM_AF
48	10456.0	24	JJ119	20v	42	1	60.0	1.0	AI	AI	3097.0	1.0	17.0	3097.0	4078.0	1665.0	valide	valide_AI_AM_AF
49	10456.0	24	JJ119	20v	43	2	61.0	2.0	AF	AF	37.0	2.0	0.0	37.0	3974.0	2666.0	valide	valide_AI_AM_AF
50	10457.0	25	JJ119	21r	43	1	62.0	1.0	AI	AI	2700.0	1.0	0.0	2700.0	4310.0	1998.0	valide	valide_AI_AM_AF
51	10457.0	25	JJ119	21r	44	2	63.0	2.0	AF	AF	78.0	2.0	54.0	78.0	4044.0	2268.0	valide	valide_AI_AM_AF
52	10458.0	26	JJ119	21v	44	1	64.0	1.0	AI	AI	2340.0	1.0	29.0	2340.0	4070.0	2428.0	valide	valide_AI_AM_AF
53	10458.0	26	JJ119	21v	45	2	65.0	2.0	AF	AF	19.0	2.0	0.0	19.0	4403.0	1726.0	valide	valide_AI_AM_AF
54	10459.0	27	JJ119	22r	45	1	66.0	1.0	AI	AI	1745.0	1.0	0.0	1745.0	3918.0	2961.0	valide	valide_AI_AM_AF
55	10459.0	27	JJ119	22r	46	2	67.0	2.0	AF	AF	181.0	2.0	427.0	181.0	3706.0	888.0	valide	valide_AI_AM_AF
56	10460.0	28	JJ119	22v	46	1	68.0	0.0	AC	AC	1079.0	1.0	405.0	1079.0	3728.0	3753.0	valide	
57	10461.0	29	JJ119	23r	47	1	69.0	0.0	AC	AC	40.0	1.0	0.0	40.0	4062.0	4679.0	valide	
58	10462.0	30	JJ119	23v	48	1	70.0	0.0	AC	AC	181.0	1.0	7.0	181.0	4129.0	2679.0	valide	
59	10463.0	31	JJ119	23v	48	1	71.0	1.0	AI	AI	2863.0	1.0	399.0	2863.0	3729.0	1903.0	valide	valide_AI_AM_AF
60	10463.0	31	JJ119	23v	49	2	72.0	2.0	AF	AF	35.0	2.0	0.0	35.0	4310.0	1990.0	valide	valide_AI_AM_AF
61	10464.0	32	JJ119	24r	49	1	73.0	1.0	AI	AI	2016.0	1.0	0.0	2016.0	4150.0	2704.0	valide	valide_AI_AM_AF
62	10464.0	32	JJ119	24r	50	2	74.0	2.0	AF	AF	179.0	2.0	445.0	179.0	3687.0	2440.0	valide	valide_AI_AM_AF
63	10465.0	33	JJ119	24v	50	1	75.0	1.0	AI	AI	2618.0	1.0	414.0	2618.0	3721.0	2138.0	valide	valide_AI_AM_AF
64	10465.0	33	JJ119	24v	51	2	76.0	2.0	AF	AF	53.0	2.0	0.0	53.0	4128.0	2903.0	valide	valide_AI_AM_AF
65	10466.0	34	JJ119	25r	51	1	77.0	1.0	AI	AI	2943.0	1.0	0.0	2943.0	4419.0	1759.0	valide	valide_AI_AM_AF
66	10466.0	34	JJ119	25r	52	2	78.0	3.0	AM	AM	51.0	2.0	112.0	51.0	1087.0	1353.0	valide	valide_AI_AM_AF
67	10466.0	34	JJ119	25r	53	3	79.0	3.0	AM	AM	110.0	3.0	0.0	110.0	4041.0	4648.0	valide	valide_AI_AM_AF
68	10466.0	34	JJ119	25r	54	4	80.0	3.0	AM	AM	168.0	4.0	407.0	168.0	3727.0	4707.0	valide	valide_AI_AM_AF
