zone_id	image_id	volume	folio_sort_key	folio_label	folio_norm	class_id	class_name	abs_x	abs_y	abs_w	abs_h	x_pct	y_pct	w_pct	h_pct	url_image_full	image_filename	image_width_px	image_height_px
1	3	JJ160	3	Ir	ir	5	Table	2	54	1178	1302	0.13	3.93	98.2	95.18	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vc88o33tqbqs/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vc88o33tqbqs/full/1200,/0/default.jpg	1200	1368
2	4	JJ160	4	Iv	iv	5	Table	0	36	1198	1460	0.035	2.375	99.87	95.85	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkmajepjbprq/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkmajepjbprq/full/1200,/0/default.jpg	1200	1523
3	5	JJ160	5	IIr	iir	5	Table	2	54	1071	1284	0.17	3.965	89.28	93.85	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpa06762m6ev/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpa06762m6ev/full/1200,/0/default.jpg	1200	1368
4	6	JJ160	6	IIv	iiv	5	Table	0	34	1199	1465	0.0	2.22	99.88	96.16	https://iiif.irht.cnrs.fr/iiif/ark:/63955/ve3yhwotnge9/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/ve3yhwotnge9/full/1200,/0/default.jpg	1200	1523
5	7	JJ160	7	IIIr	iiir	5	Table	2	54	1059	1286	0.195	3.975	88.29	94.03	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrxnhgz67pwh/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrxnhgz67pwh/full/1200,/0/default.jpg	1200	1368
6	8	JJ160	8	IIIv	iiiv	5	Table	68	28	1132	1443	5.66	1.89	94.34	96.06	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vq3px5b3j6hn/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vq3px5b3j6hn/full/1200,/0/default.jpg	1200	1502
7	9	JJ160	9	IVr	ivr	5	Table	2	54	1064	1282	0.19	3.965	88.68	93.69	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5zjts6a7f24/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5zjts6a7f24/full/1200,/0/default.jpg	1200	1368
8	10	JJ160	10	IVv	ivv	5	Table	81	38	1119	1438	6.76	2.525	93.24	95.75	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3jl2qtsmbjq/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3jl2qtsmbjq/full/1200,/0/default.jpg	1200	1502
9	11	JJ160	11	Vr	vr	5	Table	2	54	1058	1286	0.185	3.925	88.15	93.97	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0gvbjfi12n1/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0gvbjfi12n1/full/1200,/0/default.jpg	1200	1368
10	12	JJ160	12	Vv	vv	5	Table	65	39	1135	1424	5.4	2.59	94.58	94.8	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmhttr19u5ce/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmhttr19u5ce/full/1200,/0/default.jpg	1200	1502
11	13	JJ160	13	VIr	vir	5	Table	2	52	1094	1284	0.165	3.795	91.17	93.85	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrf4k8rwrhw7/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrf4k8rwrhw7/full/1200,/0/default.jpg	1200	1368
12	14	JJ160	14	VIv	viv	5	Table	69	42	1131	1406	5.755	2.78	94.21	93.62	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vd8rsqtveuiv/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vd8rsqtveuiv/full/1200,/0/default.jpg	1200	1502
13	15	JJ160	15	VIIr	viir	5	Table	2	50	1076	1286	0.135	3.68	89.65	94.02	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vobnpkivxwmc/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vobnpkivxwmc/full/1200,/0/default.jpg	1200	1368
14	16	JJ160	16	VIIv	viiv	5	Table	53	41	1146	1422	4.43	2.725	95.46	94.65	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v07ls3c90km8/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v07ls3c90km8/full/1200,/0/default.jpg	1200	1502
15	17	JJ160	17	VIIIr	viiir	5	Table	2	52	1050	1284	0.18	3.8	87.46	93.88	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbfz4beytan5/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbfz4beytan5/full/1200,/0/default.jpg	1200	1368
16	18	JJ160	18	VIIIv	viiiv	5	Table	62	36	1137	1430	5.15	2.425	94.72	95.23	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxcpg7ncu0d2/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxcpg7ncu0d2/full/1200,/0/default.jpg	1200	1502
17	19	JJ160	19	1r	1r	1	AI	0	40	1070	1293	0.03	2.935	89.2	94.53	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vl56xe6h1fth/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vl56xe6h1fth/full/1200,/0/default.jpg	1200	1368
