image_id	register	image_filename	volume	folio_sort_key	folio_label	folio_norm	width_px	height_px	url_full	url_resized	resized_width_px	resized_height_px	manifest_url	canvas_id
1	JJ160	Paris_Archives_Nationales_JJ160_1.jpg	JJ160	1	plat supérieur	plat supérieur	4359	4971	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vw19viysezw0/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vw19viysezw0/full/1200,/0/default.jpg	1200	1368	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310674
2	JJ160	Paris_Archives_Nationales_JJ160_2.jpg	JJ160	2	contre-plat supérieur	contre-plat supérieur	3940	4947	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7f0j9hw5vfz/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7f0j9hw5vfz/full/1200,/0/default.jpg	1200	1507	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310675
3	JJ160	Paris_Archives_Nationales_JJ160_3.jpg	JJ160	3	Ir	ir	4359	4971	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vc88o33tqbqs/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vc88o33tqbqs/full/1200,/0/default.jpg	1200	1368	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310676
4	JJ160	Paris_Archives_Nationales_JJ160_4.jpg	JJ160	4	Iv	iv	3898	4947	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkmajepjbprq/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkmajepjbprq/full/1200,/0/default.jpg	1200	1523	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310677
5	JJ160	Paris_Archives_Nationales_JJ160_5.jpg	JJ160	5	IIr	iir	4359	4971	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpa06762m6ev/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpa06762m6ev/full/1200,/0/default.jpg	1200	1368	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310678
6	JJ160	Paris_Archives_Nationales_JJ160_6.jpg	JJ160	6	IIv	iiv	3898	4947	https://iiif.irht.cnrs.fr/iiif/ark:/63955/ve3yhwotnge9/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/ve3yhwotnge9/full/1200,/0/default.jpg	1200	1523	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310679
7	JJ160	Paris_Archives_Nationales_JJ160_7.jpg	JJ160	7	IIIr	iiir	4359	4971	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrxnhgz67pwh/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrxnhgz67pwh/full/1200,/0/default.jpg	1200	1368	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310680
8	JJ160	Paris_Archives_Nationales_JJ160_8.jpg	JJ160	8	IIIv	iiiv	3952	4947	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vq3px5b3j6hn/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vq3px5b3j6hn/full/1200,/0/default.jpg	1200	1502	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310681
9	JJ160	Paris_Archives_Nationales_JJ160_9.jpg	JJ160	9	IVr	ivr	4359	4971	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5zjts6a7f24/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5zjts6a7f24/full/1200,/0/default.jpg	1200	1368	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310682
10	JJ160	Paris_Archives_Nationales_JJ160_10.jpg	JJ160	10	IVv	ivv	3952	4947	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3jl2qtsmbjq/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3jl2qtsmbjq/full/1200,/0/default.jpg	1200	1502	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310683
11	JJ160	Paris_Archives_Nationales_JJ160_11.jpg	JJ160	11	Vr	vr	4359	4971	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0gvbjfi12n1/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0gvbjfi12n1/full/1200,/0/default.jpg	1200	1368	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310684
12	JJ160	Paris_Archives_Nationales_JJ160_12.jpg	JJ160	12	Vv	vv	3952	4947	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmhttr19u5ce/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmhttr19u5ce/full/1200,/0/default.jpg	1200	1502	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310685
13	JJ160	Paris_Archives_Nationales_JJ160_13.jpg	JJ160	13	VIr	vir	4359	4971	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrf4k8rwrhw7/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vrf4k8rwrhw7/full/1200,/0/default.jpg	1200	1368	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310686
14	JJ160	Paris_Archives_Nationales_JJ160_14.jpg	JJ160	14	VIv	viv	3952	4947	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vd8rsqtveuiv/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vd8rsqtveuiv/full/1200,/0/default.jpg	1200	1502	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310687
15	JJ160	Paris_Archives_Nationales_JJ160_15.jpg	JJ160	15	VIIr	viir	4359	4971	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vobnpkivxwmc/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vobnpkivxwmc/full/1200,/0/default.jpg	1200	1368	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310688
16	JJ160	Paris_Archives_Nationales_JJ160_16.jpg	JJ160	16	VIIv	viiv	3952	4947	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v07ls3c90km8/full/full/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v07ls3c90km8/full/1200,/0/default.jpg	1200	1502	https://api.irht.cnrs.fr/ark:/63955/f37ga9pw9hfp/manifest.json	https://arca.irht.cnrs.fr/iiif/128462/canvas/canvas-4310689
