zone_id	image_id	volume	folio_sort_key	folio_label	folio_norm	class_id	class_name	abs_x	abs_y	abs_w	abs_h	url_image_full	image_filename	image_width_px	image_height_px
1	2	JJ096	2	contre-plat sup��rieur	contre-plat sup��rieur	4	NIA	6	0	2038	2047	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6e576jlpbid/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v6e576jlpbid/full/1200,/0/default.jpg	2048	2048
2	3	JJ096	3	1r	1r	5	Table	0	0	3978	6288	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxyc3rg33kh4/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxyc3rg33kh4/full/1200,/0/default.jpg	3984	6437
3	4	JJ096	4	1v	1v	5	Table	0	121	3768	6103	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbg5uy3smlz0/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbg5uy3smlz0/full/1200,/0/default.jpg	3768	6373
4	5	JJ096	5	2r	2r	5	Table	0	139	3928	6209	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vr66brwmaaj8/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vr66brwmaaj8/full/1200,/0/default.jpg	3928	6453
5	6	JJ096	6	2v	2v	5	Table	150	121	3671	6177	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vnn03q4o88zo/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vnn03q4o88zo/full/1200,/0/default.jpg	3824	6373
6	7	JJ096	7	3r	3r	5	Table	0	58	3883	6298	https://iiif.irht.cnrs.fr/iiif/ark:/63955/veumhm82l9ts/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/veumhm82l9ts/full/1200,/0/default.jpg	3888	6421
7	8	JJ096	8	3v	3v	5	Table	0	120	3853	6214	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vf5kcrvmb39y/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vf5kcrvmb39y/full/1200,/0/default.jpg	3856	6373
8	9	JJ096	9	4r	4r	5	Table	0	35	3883	6214	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4dp81xg1muv/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4dp81xg1muv/full/1200,/0/default.jpg	3888	6325
9	10	JJ096	10	4v	4v	5	Table	1	23	3867	6279	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8bihe4q8x6d/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8bihe4q8x6d/full/1200,/0/default.jpg	3872	6397
10	11	JJ096	11	5r	5r	5	Table	0	32	3888	6199	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhj4c6ggfeks/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhj4c6ggfeks/full/1200,/0/default.jpg	3888	6301
11	12	JJ096	12	5v	5v	4	NIA	6	0	2038	2047	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3su18wn3swf/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3su18wn3swf/full/1200,/0/default.jpg	2048	2048
12	13	JJ096	13	6r	6r	1	AI	0	88	4032	6294	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbetf51dcfuv/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbetf51dcfuv/full/1200,/0/default.jpg	4160	6437
13	14	JJ096	14	6v	6v	3	AM	2	120	4118	6229	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk610mhf7aiz/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk610mhf7aiz/full/1200,/0/default.jpg	4120	6437
14	15	JJ096	15	7r	7r	2	AF	1	39	4247	1247	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4k817bt4q4i/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4k817bt4q4i/full/1200,/0/default.jpg	4248	6477
15	15	JJ096	15	7r	7r	1	AI	0	1188	4248	5196	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4k817bt4q4i/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4k817bt4q4i/full/1200,/0/default.jpg	4248	6477
16	16	JJ096	16	7v	7v	3	AM	3	110	4117	6235	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkkomx01rvmy/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkkomx01rvmy/full/1200,/0/default.jpg	4120	6437
17	17	JJ096	17	8r	8r	3	AM	0	62	4248	6311	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxmle1sokss4/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxmle1sokss4/full/1200,/0/default.jpg	4248	6477
18	18	JJ096	18	8v	8v	3	AM	3	139	4117	6245	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0uccnh3s0oc/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0uccnh3s0oc/full/1200,/0/default.jpg	4120	6437
19	19	JJ096	19	9r	9r	3	AM	0	80	4248	6325	https://iiif.irht.cnrs.fr/iiif/ark:/63955/voaaoc2jy0hk/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/voaaoc2jy0hk/full/1200,/0/default.jpg	4248	6477
20	20	JJ096	20	9v	9v	3	AM	6	122	4114	6285	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmvmej77cc76/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmvmej77cc76/full/1200,/0/default.jpg	4120	6437
21	21	JJ096	21	10r	10r	2	AF	17	74	4012	5201	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpkt6ol6cyvm/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpkt6ol6cyvm/full/1200,/0/default.jpg	4200	6477
22	21	JJ096	21	10r	10r	1	AI	8	5117	4119	1240	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpkt6ol6cyvm/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vpkt6ol6cyvm/full/1200,/0/default.jpg	4200	6477
23	22	JJ096	22	10v	10v	3	AM	10	120	4110	6296	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9jyb3xckiyf/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9jyb3xckiyf/full/1200,/0/default.jpg	4120	6437
24	23	JJ096	23	11r	11r	3	AM	5	71	4033	6318	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4dzckboshdd/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4dzckboshdd/full/1200,/0/default.jpg	4200	6477
25	24	JJ096	24	11v	11v	3	AM	10	116	4110	6277	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbj1xqdvl055/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbj1xqdvl055/full/1200,/0/default.jpg	4120	6437
26	25	JJ096	25	12r	12r	3	AM	53	114	3988	6270	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vzg8wster8j4/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vzg8wster8j4/full/1200,/0/default.jpg	4200	6477
27	26	JJ096	26	12v	12v	2	AF	21	88	4099	5432	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8vpjjh0xuch/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8vpjjh0xuch/full/1200,/0/default.jpg	4120	6437
28	26	JJ096	26	12v	12v	1	AI	11	5477	4109	881	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8vpjjh0xuch/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v8vpjjh0xuch/full/1200,/0/default.jpg	4120	6437
29	27	JJ096	27	13r	13r	3	AM	30	83	4045	6261	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vw9795taaz9r/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vw9795taaz9r/full/1200,/0/default.jpg	4200	6477
30	28	JJ096	28	13v	13v	3	AM	34	124	4086	6231	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v85j1kaa3fiz/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v85j1kaa3fiz/full/1200,/0/default.jpg	4120	6437
31	29	JJ096	29	14r	14r	3	AM	45	50	4074	6307	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v41il2fgewco/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v41il2fgewco/full/1200,/0/default.jpg	4200	6477
32	30	JJ096	30	14v	14v	3	AM	141	113	4008	6252	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4mtyw4x6v5b/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4mtyw4x6v5b/full/1200,/0/default.jpg	4152	6437
33	31	JJ096	31	15r	15r	3	AM	0	81	4128	6322	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vf7vphz5zy91/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vf7vphz5zy91/full/1200,/0/default.jpg	4128	6477
34	32	JJ096	32	15v	15v	2	AF	148	89	4034	6299	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhv4xbjuo7yb/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhv4xbjuo7yb/full/1200,/0/default.jpg	4184	6437
35	33	JJ096	33	16r	16r	0	AC	0	98	4150	3135	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1x86ve10qg8/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1x86ve10qg8/full/1200,/0/default.jpg	4160	6581
36	33	JJ096	33	16r	16r	0	AC	0	3215	4155	1841	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1x86ve10qg8/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1x86ve10qg8/full/1200,/0/default.jpg	4160	6581
37	33	JJ096	33	16r	16r	1	AI	0	5050	4144	1418	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1x86ve10qg8/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1x86ve10qg8/full/1200,/0/default.jpg	4160	6581
38	34	JJ096	34	16v	16v	3	AM	48	127	4136	6373	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm6plbpklr1g/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm6plbpklr1g/full/1200,/0/default.jpg	4184	6533
39	35	JJ096	35	17r	17r	2	AF	0	25	1199	1857	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvyresgmrrno/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvyresgmrrno/full/1200,/0/default.jpg	1200	1898
40	36	JJ096	36	17v	17v	0	AC	0	69	4024	6475	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vztjevk4csqi/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vztjevk4csqi/full/1200,/0/default.jpg	4024	6581
41	37	JJ096	37	18r	18r	0	AC	0	88	4057	2838	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vicu7wfzxvuw/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vicu7wfzxvuw/full/1200,/0/default.jpg	4057	6577
42	37	JJ096	37	18r	18r	1	AI	0	2917	4057	3561	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vicu7wfzxvuw/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vicu7wfzxvuw/full/1200,/0/default.jpg	4057	6577
43	38	JJ096	38	18v	18v	2	AF	1	61	3894	1699	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vn8o3ugvi4uc/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vn8o3ugvi4uc/full/1200,/0/default.jpg	3896	6645
44	38	JJ096	38	18v	18v	0	AC	2	1592	3892	2483	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vn8o3ugvi4uc/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vn8o3ugvi4uc/full/1200,/0/default.jpg	3896	6645
45	38	JJ096	38	18v	18v	1	AI	1	4059	3892	2547	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vn8o3ugvi4uc/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vn8o3ugvi4uc/full/1200,/0/default.jpg	3896	6645
