liaison_id	acte_id	act_number	register	folio_norm	image_id	image_order	zone_id	class_id	class_name	role	zone_order_in_image	zone_order_global	abs_x	abs_y	abs_w	abs_h	statut_zone	statut_structure
1	15146.0	1	JJ133	1r	11	1	8.0	0.0	AC	AC	6.0	1.0	1.0	6.0	4222.0	3488.0	valide	
2	15147.0	2	JJ133	1r	11	1	9.0	1.0	AI	AI	3483.0	1.0	0.0	3483.0	4256.0	1230.0	valide	valide_AI_AM_AF
3	15147.0	2	JJ133	1r	12	2	10.0	2.0	AF	AF	51.0	2.0	96.0	51.0	3946.0	3294.0	valide	valide_AI_AM_AF
4	15148.0	3	JJ133	1v	12	1	11.0	1.0	AI	AI	3338.0	1.0	95.0	3338.0	3946.0	1420.0	valide	valide_AI_AM_AF
5	15148.0	3	JJ133	1v	13	2	12.0	2.0	AF	AF	3.0	2.0	3.0	3.0	4027.0	2440.0	valide	valide_AI_AM_AF
6	15149.0	4	JJ133	1v	12	1											ancrage_sans_zone_initiale	
7	15150.0	5	JJ133	2r	13	1	13.0	1.0	AI	AI	2436.0	1.0	1.0	2436.0	3878.0	2291.0	valide	valide_AI_AM_AF
8	15150.0	5	JJ133	2r	14	2	14.0	2.0	AF	AF	107.0	2.0	122.0	107.0	3918.0	2225.0	valide	valide_AI_AM_AF
9	15151.0	6	JJ133	2v	14	1	15.0	1.0	AI	AI	2329.0	1.0	319.0	2329.0	3723.0	2433.0	valide	valide_AI_AM_AF
10	15151.0	6	JJ133	2v	15	2	16.0	2.0	AF	AF	0.0	2.0	2.0	0.0	4250.0	1247.0	valide	valide_AI_AM_AF
11	15152.0	7	JJ133	3r	15	1	17.0	0.0	AC	AC	1246.0	1.0	1.0	1246.0	3888.0	2402.0	valide	
12	15153.0	8	JJ133	3r	15	1	18.0	1.0	AI	AI	3641.0	1.0	4.0	3641.0	4067.0	1071.0	valide	valide_AI_AM_AF
13	15153.0	8	JJ133	3r	16	2	19.0	2.0	AF	AF	150.0	2.0	46.0	150.0	3961.0	4661.0	valide	valide_AI_AM_AF
14	15154.0	9	JJ133	4r	17	1	20.0	0.0	AC	AC	20.0	1.0	4.0	20.0	4070.0	3694.0	valide	
15	15155.0	10	JJ133	4r	17	1	21.0	1.0	AI	AI	3722.0	1.0	2.0	3722.0	4183.0	992.0	valide	valide_AI_AM_AF
16	15155.0	10	JJ133	4r	18	2	22.0	2.0	AF	AF	138.0	2.0	41.0	138.0	3967.0	4683.0	valide	valide_AI_AM_AF
17	15156.0	11	JJ133	5r	19	1	23.0	0.0	AC	AC	16.0	1.0	3.0	16.0	3819.0	2768.0	valide	
18	15157.0	12	JJ133	5r	19	1	24.0	1.0	AI	AI	2781.0	1.0	3.0	2781.0	3827.0	1919.0	valide	valide_AI_AM_AF
19	15157.0	12	JJ133	5r	20	2	25.0	2.0	AF	AF	139.0	2.0	32.0	139.0	3974.0	2490.0	valide	valide_AI_AM_AF
20	15158.0	13	JJ133	5v	20	1	26.0	0.0	AC	AC	2623.0	1.0	25.0	2623.0	3982.0	2198.0	valide	
21	15159.0	14	JJ133	6r	21	1	27.0	0.0	AC	AC	8.0	1.0	1.0	8.0	3838.0	4772.0	valide	
22	15160.0	15	JJ133	6v	22	1	28.0	0.0	AC	AC	142.0	1.0	66.0	142.0	3938.0	3232.0	valide	
23	15161.0	16	JJ133	6v	22	1	29.0	1.0	AI	AI	3363.0	1.0	22.0	3363.0	3986.0	1441.0	valide	valide_AI_AM_AF
24	15161.0	16	JJ133	6v	23	2	30.0	2.0	AF	AF	5.0	2.0	7.0	5.0	3844.0	2351.0	valide	valide_AI_AM_AF
25	15162.0	17	JJ133	7r	23	1	31.0	1.0	AI	AI	2353.0	1.0	3.0	2353.0	4099.0	2355.0	valide	valide_AI_AM_AF
26	15162.0	17	JJ133	7r	24	2	32.0	2.0	AF	AF	131.0	2.0	100.0	131.0	3905.0	1561.0	valide	valide_AI_AM_AF
27	15163.0	18	JJ133	7v	24	1	33.0	0.0	AC	AC	1695.0	1.0	28.0	1695.0	3979.0	3096.0	valide	
28	15164.0	19	JJ133	8r	25	1	34.0	0.0	AC	AC	12.0	1.0	1.0	12.0	3798.0	4781.0	valide	
29	15165.0	20	JJ133	8v	26	1	35.0	0.0	AC	AC	137.0	1.0	40.0	137.0	3967.0	4654.0	valide	
30	15166.0	21	JJ133	9r	27	1	36.0	1.0	AI	AI	3.0	1.0	0.0	3.0	1200.0	1359.0	valide	valide_AI_AM_AF
31	15166.0	21	JJ133	9r	28	2	37.0	3.0	AM	AM	111.0	2.0	29.0	111.0	3983.0	4695.0	valide	valide_AI_AM_AF
32	15166.0	21	JJ133	9r	29	3	38.0	3.0	AM	AM	7.0	3.0	1.0	7.0	3845.0	4741.0	valide	valide_AI_AM_AF
33	15166.0	21	JJ133	9r	30	4	39.0	3.0	AM	AM	131.0	4.0	21.0	131.0	3991.0	4664.0	valide	valide_AI_AM_AF
34	15166.0	21	JJ133	9r	31	5	40.0	3.0	AM	AM	5.0	5.0	1.0	5.0	3884.0	4747.0	valide	valide_AI_AM_AF
35	15166.0	21	JJ133	9r	32	6	41.0	2.0	AF	AF	145.0	6.0	7.0	145.0	4004.0	2463.0	valide	valide_AI_AM_AF
36	15167.0	22	JJ133	11v	32	1	42.0	1.0	AI	AI	2613.0	1.0	12.0	2613.0	4001.0	2202.0	valide	valide_AI_AM_AF
37	15167.0	22	JJ133	11v	33	2	43.0	2.0	AF	AF	2.0	2.0	7.0	2.0	4117.0	1326.0	valide	valide_AI_AM_AF
38	15168.0	23	JJ133	12r	33	1	44.0	0.0	AC	AC	1332.0	1.0	2.0	1332.0	4177.0	3388.0	valide	
