zone_temp_id,zone_label,zone_order_on_folio,image_ark_id,image_temp_id,register,folio_label,folio_sort_key,class_name,abs_x,abs_y,abs_w,abs_h,x_pct,y_pct,w_pct,h_pct,declared_width,declared_height,base_image,urlImage,address_bvmm_path,address_bvmm_name,__source_file
20134,z1,1,ark:/63955/v76d16ztzlc1,10618,JJ123,1r,3,Table,0,6,4356,4838,-0.004999999999999449,0.13000000000000234,99.99,98.52,4356,4911,FRAN_0021_11304_A,https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11304_A/full/full/0/default.jpg,"https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11304_A/0,6,4356,4838/600,/0/default.jpg",_remote,
20135,z1,1,ark:/63955/vm54bvyvqx0p,10619,JJ123,1v,4,Table,5,92,4078,4781,0.12000000000000344,1.8799999999999928,99.88,97.54,4083,4902,FRAN_0021_11305_A,https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11305_A/full/full/0/default.jpg,"https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11305_A/5,92,4078,4781/600,/0/default.jpg",_remote,
20136,z1,1,ark:/63955/vm5aji8vdm3k,10620,JJ123,2r,5,Table,0,24,4351,4877,0.0,0.48499999999999654,99.88,99.31,4356,4911,FRAN_0021_11306_A,https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11306_A/full/full/0/default.jpg,"https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11306_A/0,24,4351,4877/600,/0/default.jpg",_remote,
20137,z1,1,ark:/63955/v05r0yqlbr8h,10621,JJ123,2v,6,Table,7,20,4076,4872,0.18000000000000238,0.40000000000000036,99.82,99.38,4083,4902,FRAN_0021_11307_A,https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11307_A/full/full/0/default.jpg,"https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11307_A/7,20,4076,4872/600,/0/default.jpg",_remote,
20138,z1,1,ark:/63955/vwjcuf3rftel,10622,JJ123,3r,7,Table,0,10,4351,4876,-0.004999999999999449,0.20499999999999963,99.89,99.29,4356,4911,FRAN_0021_11308_A,https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11308_A/full/full/0/default.jpg,"https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11308_A/0,10,4351,4876/600,/0/default.jpg",_remote,
20139,z1,1,ark:/63955/v3y3cuhzx102,10623,JJ123,3v,8,Table,8,20,4075,4878,0.18500000000000183,0.4100000000000048,99.81,99.52,4083,4902,FRAN_0021_11309_A,https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11309_A/full/full/0/default.jpg,"https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11309_A/8,20,4075,4878/600,/0/default.jpg",_remote,
20140,z1,1,ark:/63955/vs00imcaut6e,10624,JJ123,4r,9,Table,0,3,4352,4884,0.004999999999999449,0.06999999999999784,99.91,99.46000000000001,4356,4911,FRAN_0021_11310_A,https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11310_A/full/full/0/default.jpg,"https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11310_A/0,3,4352,4884/600,/0/default.jpg",_remote,
20141,z1,1,ark:/63955/v61uata37v76,10625,JJ123,4v,10,Table,12,52,4070,4850,0.28499999999999637,1.0550000000000004,99.69,98.92999999999999,4083,4902,FRAN_0021_11311_A,https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11311_A/full/full/0/default.jpg,"https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11311_A/12,52,4070,4850/600,/0/default.jpg",_remote,
20142,z1,1,ark:/63955/vzj0gjxijzak,10626,JJ123,5r,11,AI,3,655,3828,4200,0.07499999999999732,13.337048192771089,87.87915662650602,85.51795180722895,4356,4911,FRAN_0021_11312_A,https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11312_A/full/full/0/default.jpg,"https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11312_A/3,655,3828,4200/600,/0/default.jpg",_remote,
20143,z1,1,ark:/63955/v0t6c316agdb,10627,JJ123,5v,12,AF,238,115,3762,766,5.824950950329087,2.351882283900458,92.14013321429593,15.619048078889486,4083,4902,FRAN_0021_11313_A,https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11313_A/full/full/0/default.jpg,"https://iiif.irht.cnrs.fr/iiif/VOLUME1/France/Paris/Archives_nationales/FRAN_0021_JJ123/DEPOT/FRAN_0021_11313_A/238,115,3762,766/600,/0/default.jpg",_remote,
