liaison_id	acte_id	act_number	register	folio_norm	image_id	image_order	zone_id	class_id	class_name	role	zone_order_in_image	zone_order_global	abs_x	abs_y	abs_w	abs_h	statut_zone	statut_structure
1	16866.0	1	JJ140	1r	11	1	9.0	0.0	AC	AC	5.0	1.0	1.0	5.0	1172.0	897.0	valide	
2	16867.0	2	JJ140	1r	11	1	10.0	1.0	AI	AI	901.0	1.0	1.0	901.0	1199.0	447.0	valide	valide_AI_AM_AF
3	16867.0	2	JJ140	1r	12	2	11.0	2.0	AF	AF	3.0	2.0	20.0	3.0	1179.0	885.0	valide	valide_AI_AM_AF
4	16868.0	3	JJ140	2r	12	1	12.0	1.0	AI	AI	887.0	1.0	17.0	887.0	1182.0	533.0	valide	valide_AI_AM_AF
5	16868.0	3	JJ140	2r	13	2	13.0	3.0	AM	AM	4.0	2.0	1.0	4.0	1194.0	1355.0	valide	valide_AI_AM_AF
6	16868.0	3	JJ140	2r	14	3	14.0	2.0	AF	AF	9.0	3.0	22.0	9.0	1176.0	382.0	valide	valide_AI_AM_AF
7	16869.0	4	JJ140	4r	14	1	15.0	0.0	AC	AC	389.0	1.0	21.0	389.0	1178.0	1046.0	valide	
8	16870.0	5	JJ140	5r	15	1	16.0	0.0	AC	AC	17.0	1.0	0.0	17.0	1198.0	1346.0	valide	
9	16871.0	6	JJ140	6r	16	1	17.0	1.0	AI	AI	6.0	1.0	26.0	6.0	1173.0	1431.0	valide	valide_AI_AM_AF
10	16871.0	6	JJ140	6r	17	2	18.0	2.0	AF	AF	5.0	2.0	0.0	5.0	1198.0	898.0	valide	valide_AI_AM_AF
11	16872.0	7	JJ140	7r	17	1	19.0	1.0	AI	AI	900.0	1.0	2.0	900.0	1197.0	451.0	valide	valide_AI_AM_AF
12	16872.0	7	JJ140	7r	18	2	20.0	2.0	AF	AF	10.0	2.0	11.0	10.0	1188.0	1429.0	valide	valide_AI_AM_AF
13	16873.0	8	JJ140	9r	19	1	21.0	0.0	AC	AC	8.0	1.0	0.0	8.0	1196.0	856.0	valide	
14	16874.0	9	JJ140	9r	19	1	22.0	1.0	AI	AI	862.0	1.0	2.0	862.0	1196.0	487.0	valide	valide_AI_AM_AF
15	16874.0	9	JJ140	9r	20	2	23.0	2.0	AF	AF	5.0	2.0	1.0	5.0	1198.0	584.0	valide	valide_AI_AM_AF
16	16875.0	10	JJ140	10r	20	1	24.0	0.0	AC	AC	592.0	1.0	4.0	592.0	1195.0	822.0	valide	
