"annotation_id","annotator","created_at","folio_label","folio_sort_key","id","image","image_path","label","lead_time","register","updated_at","volume"
24969,"1","2026-07-18T08:13:04.308080Z","garde supérieure","1",45208,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7xa53s0mymd/full/,1200/0/default.jpg","Paris_Archives_Nationales_JJ200_1.jpg","","","JJ200","2026-07-18T08:13:04.308080Z","JJ200"
24970,"1","2026-07-18T08:13:04.308080Z","contre garde supérieure","2",45209,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqq1lebcoo3i/full/,1200/0/default.jpg","Paris_Archives_Nationales_JJ200_2.jpg","",2.496,"JJ200","2026-07-18T08:13:04.308080Z","JJ200"
24971,"1","2026-07-18T08:13:04.308080Z","1r","3",45210,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vlnsr0equbys/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ200_3.jpg","[{""x"":0.485,""y"":0.18,""width"":99.51,""height"":99.82,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1422}]",4.186,"JJ200","2026-07-18T08:13:04.308080Z","JJ200"
24972,"1","2026-07-18T08:13:04.308080Z","1v","4",45211,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm3ve3icqw2h/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ200_4.jpg","[{""x"":0.1,""y"":0.01,""width"":99.72,""height"":37.08,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1355},{""x"":0.0,""y"":37.08,""width"":99.86,""height"":62.46,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1355}]","","JJ200","2026-07-18T08:13:04.308080Z","JJ200"
24973,"1","2026-07-18T08:13:04.308080Z","2r","5",45212,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxnv80kx42jr/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ200_5.jpg","[{""x"":0.17,""y"":0.085,""width"":99.8,""height"":99.87,""rotation"":0,""rectanglelabels"":[""AM""],""original_width"":1200,""original_height"":1460}]",5.95,"JJ200","2026-07-18T08:13:04.308080Z","JJ200"
24974,"1","2026-07-18T08:13:04.308080Z","2v","6",45213,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvbr91mlze72/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ200_6.jpg","[{""x"":0.15500000000000003,""y"":0.07000000000000002,""width"":99.84499999999993,""height"":79.7505252255921,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1369},{""x"":0,""y"":81.335,""width"":100,""height"":18.57,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1369}]",12.219000000000001,"JJ200","2026-07-18T08:13:04.308080Z","JJ200"
24975,"1","2026-07-18T08:13:04.308080Z","3r","7",45214,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vam6syxo1fmp/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ200_7.jpg","[{""x"":0.0,""y"":48.935,""width"":99.82,""height"":51.03,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1458},{""x"":0.005,""y"":0.04,""width"":99.81,""height"":48.92,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1458}]","","JJ200","2026-07-18T08:13:04.308080Z","JJ200"
24976,"1","2026-07-18T08:13:04.308080Z","3v","8",45215,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbvqvsuxbmsm/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ200_8.jpg","[{""x"":0.095,""y"":78.51,""width"":99.77,""height"":21.48,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1373},{""x"":0.215,""y"":0.005,""width"":99.65,""height"":79.47,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1373}]","","JJ200","2026-07-18T08:13:04.308080Z","JJ200"
24977,"1","2026-07-18T08:13:04.308080Z","4r","9",45216,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/ve2n0onfvpph/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ200_9.jpg","[{""x"":0.19,""y"":0.0,""width"":99.76,""height"":99.74,""rotation"":0,""rectanglelabels"":[""AM""],""original_width"":1200,""original_height"":1454}]","","JJ200","2026-07-18T08:13:04.308080Z","JJ200"
24978,"1","2026-07-18T08:13:04.308080Z","4v","10",45217,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vwigu7i9t8ko/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ200_10.jpg","[{""x"":1.32,""y"":13.81,""width"":98.68,""height"":86.16,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1339},{""x"":0.665,""y"":0.015,""width"":99.33,""height"":13.89,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1339}]","","JJ200","2026-07-18T08:13:04.308080Z","JJ200"
