"annotation_id","annotator","created_at","id","image","image_path","label","lead_time","ordre","registre","updated_at"
12084,"1","2026-06-01T09:47:39.822990Z",12084,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vtx8e9y83g7q/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vtx8e9y83g7q/full/full/0/default.jpg","","",2,"JJ119","2026-06-01T09:47:39.822990Z"
12085,"1","2026-06-01T09:47:39.822990Z",12085,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvm1unrhu80b/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvm1unrhu80b/full/full/0/default.jpg","[{""x"":0.004999999999999449,""y"":0.17999999999999683,""width"":95.69,""height"":99.46000000000001,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":4501,""original_height"":4856}]","",3,"JJ119","2026-06-01T09:47:39.822990Z"
12086,"1","2026-06-01T09:47:39.822990Z",12086,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqylz9j22kwz/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vqylz9j22kwz/full/full/0/default.jpg","[{""x"":6.580000000000003,""y"":2.594999999999997,""width"":93.42,""height"":97.25,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":4147,""original_height"":4875}]","",4,"JJ119","2026-06-01T09:47:39.822990Z"
12087,"1","2026-06-01T09:47:39.822990Z",12087,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vta8sjc8r34d/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vta8sjc8r34d/full/full/0/default.jpg","[{""x"":0.3950000000000009,""y"":0.7199999999999984,""width"":99.57000000000001,""height"":97.88,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":4583,""original_height"":4865}]","",5,"JJ119","2026-06-01T09:47:39.822990Z"
12088,"1","2026-06-01T09:47:39.822990Z",12088,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4y1wgv5g6vf/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/v4y1wgv5g6vf/full/full/0/default.jpg","[{""x"":0.545000000000001,""y"":1.3149999999999995,""width"":99.45,""height"":98.19,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":4047,""original_height"":4893}]","",6,"JJ119","2026-06-01T09:47:39.822990Z"
12089,"1","2026-06-01T09:47:39.822990Z",12089,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsuocxrxtrr4/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsuocxrxtrr4/full/full/0/default.jpg","[{""x"":0.004999999999999449,""y"":0.2899999999999958,""width"":93.01,""height"":98.64,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":4501,""original_height"":4856}]","",7,"JJ119","2026-06-01T09:47:39.822990Z"
12090,"1","2026-06-01T09:47:39.822990Z",12090,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0jncsffwskv/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0jncsffwskv/full/full/0/default.jpg","[{""x"":0.37000000000000366,""y"":1.4749999999999985,""width"":99.62,""height"":97.25,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":4047,""original_height"":4893}]","",8,"JJ119","2026-06-01T09:47:39.822990Z"
12091,"1","2026-06-01T09:47:39.822990Z",12091,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vtgbolsvh7ob/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vtgbolsvh7ob/full/full/0/default.jpg","[{""x"":0.12999999999999678,""y"":0.13000000000000234,""width"":89.78,""height"":98.28,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":4501,""original_height"":4856}]","",9,"JJ119","2026-06-01T09:47:39.822990Z"
12092,"1","2026-06-01T09:47:39.822990Z",12092,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vv18ny2ep6e9/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vv18ny2ep6e9/full/full/0/default.jpg","[{""x"":0.4999999999999949,""y"":1.090000000000002,""width"":99.48,""height"":98.4,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":4047,""original_height"":4893}]","",10,"JJ119","2026-06-01T09:47:39.822990Z"
12093,"1","2026-06-01T09:47:39.822990Z",12093,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vuq196y2rtv8/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vuq196y2rtv8/full/full/0/default.jpg","[{""x"":0.004999999999999449,""y"":0.22999999999999687,""width"":88.42999999999999,""height"":98.14,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":4501,""original_height"":4856}]","",11,"JJ119","2026-06-01T09:47:39.822990Z"
