"annotation_id","annotator","created_at","folio_label","folio_sort_key","id","image","image_path","label","lead_time","register","updated_at","volume"
23805,"1","2026-06-19T11:26:12.011089Z","plat supérieur","1",23805,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vjhcuvyycwgi/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ140_1.jpg","","","JJ140","2026-06-19T11:26:12.011089Z","JJ140"
23806,"1","2026-06-19T11:26:12.011089Z","contre-plat","2",23806,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vdnsx8cksdxb/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ140_2.jpg","",4.196,"JJ140","2026-06-19T11:26:12.011089Z","JJ140"
23807,"1","2026-06-19T11:26:12.011089Z","Ir","3",23807,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vemm8quvqce8/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ140_3.jpg","[{""x"":0.0,""y"":0.0,""width"":99.96,""height"":98.94,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1379}]","","JJ140","2026-06-19T11:26:12.011089Z","JJ140"
23808,"1","2026-06-19T11:26:12.012656Z","Iv","4",23808,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vp94n8gjozxc/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ140_4.jpg","[{""x"":19.415,""y"":0.065,""width"":80.53,""height"":97.57,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1459}]","","JJ140","2026-06-19T11:26:12.012656Z","JJ140"
23809,"1","2026-06-19T11:26:12.012656Z","IIr","5",23809,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vsvk5gcidox0/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ140_5.jpg","[{""x"":0.0,""y"":0.055,""width"":100.0,""height"":98.83,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1367}]","","JJ140","2026-06-19T11:26:12.012656Z","JJ140"
23810,"1","2026-06-19T11:26:12.012656Z","IIv","6",23810,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/va6q51higp7q/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ140_6.jpg","[{""x"":0.465,""y"":0.08,""width"":99.45,""height"":97.36,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1459}]","","JJ140","2026-06-19T11:26:12.012656Z","JJ140"
23811,"1","2026-06-19T11:26:12.012656Z","IIIr","7",23811,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vuuybenbb046/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ140_7.jpg","[{""x"":0.0,""y"":0.03,""width"":100.0,""height"":98.08,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1367}]","","JJ140","2026-06-19T11:26:12.012656Z","JJ140"
23812,"1","2026-06-19T11:26:12.012656Z","IIIv","8",23812,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vk9nxs0mq0ww/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ140_8.jpg","[{""x"":1.275,""y"":0.05,""width"":98.63,""height"":97.38,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1459}]","","JJ140","2026-06-19T11:26:12.012656Z","JJ140"
23813,"1","2026-06-19T11:26:12.012656Z","IVr","9",23813,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vq2y8kexs5sm/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ140_9.jpg","[{""x"":0.0,""y"":0.06,""width"":100.0,""height"":98.28,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1367}]","","JJ140","2026-06-19T11:26:12.012656Z","JJ140"
23814,"1","2026-06-19T11:26:12.012656Z","IVv","10",23814,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v441sfcsjjdt/full/1200,/0/default.jpg","Paris_Archives_Nationales_JJ140_10.jpg","[{""x"":1.505,""y"":0.145,""width"":98.49,""height"":97.27,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1430}]","","JJ140","2026-06-19T11:26:12.012656Z","JJ140"
