"annotation_id","annotator","created_at","id","image","image_path","label","lead_time","ordre","registre","updated_at"
40854,"1","2026-06-22T11:18:08.817854Z",40854,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9l1dubx1rxl/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/v9l1dubx1rxl/full/full/0/default.jpg","","",2,"JJ133","2026-06-22T11:18:08.817854Z"
40855,"1","2026-06-22T11:18:08.817854Z",40855,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmyyftlku0ia/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vmyyftlku0ia/full/full/0/default.jpg","[{""x"":0.07500000000000284,""y"":0.11499999999999844,""width"":99.81,""height"":99.49,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":4256,""original_height"":4829}]","",3,"JJ133","2026-06-22T11:18:08.817854Z"
40856,"1","2026-06-22T11:18:08.817854Z",40856,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkbk6mhhd4qy/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vkbk6mhhd4qy/full/full/0/default.jpg","[{""x"":-0.004999999999999449,""y"":2.9900000000000038,""width"":99.97,""height"":97.0,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":3992,""original_height"":4856}]","",4,"JJ133","2026-06-22T11:18:08.817854Z"
40857,"1","2026-06-22T11:18:08.817854Z",40857,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v64si2u9zfvy/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/v64si2u9zfvy/full/full/0/default.jpg","[{""x"":0.0,""y"":0.10499999999999954,""width"":100.0,""height"":98.49,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":4256,""original_height"":4829}]","",5,"JJ133","2026-06-22T11:18:08.817854Z"
40858,"1","2026-06-22T11:18:08.817854Z",40858,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vearzvl0dwko/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vearzvl0dwko/full/full/0/default.jpg","[{""x"":0.5199999999999927,""y"":2.5300000000000047,""width"":99.46000000000001,""height"":97.3,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":3992,""original_height"":4856}]","",6,"JJ133","2026-06-22T11:18:08.817854Z"
40859,"1","2026-06-22T11:18:08.817854Z",40859,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhrby8o3zn94/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vhrby8o3zn94/full/full/0/default.jpg","[{""x"":0.004999999999999449,""y"":0.05999999999999894,""width"":99.95,""height"":99.68,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":4256,""original_height"":4829}]","",7,"JJ133","2026-06-22T11:18:08.821989Z"
40860,"1","2026-06-22T11:18:08.821989Z",40860,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vfr6a16qw447/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vfr6a16qw447/full/full/0/default.jpg","[{""x"":0.43999999999999595,""y"":2.010000000000006,""width"":99.56,""height"":97.7,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":3992,""original_height"":4856}]","",8,"JJ133","2026-06-22T11:18:08.821989Z"
40861,"1","2026-06-22T11:18:08.821989Z",40861,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vw42i4gep4vh/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vw42i4gep4vh/full/full/0/default.jpg","[{""x"":0.0,""y"":0.07499999999999729,""width"":100.0,""height"":98.99,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":4256,""original_height"":4829}]","",9,"JJ133","2026-06-22T11:18:08.821989Z"
40862,"1","2026-06-22T11:18:08.822410Z",40862,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vgup4yps7t8z/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/vgup4yps7t8z/full/full/0/default.jpg","","",10,"JJ133","2026-06-22T11:18:08.822410Z"
40863,"1","2026-06-22T11:18:08.822410Z",40863,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0i068xbd57h/full/1200,/0/default.jpg","https://iiif.irht.cnrs.fr/iiif/ark:/63955/v0i068xbd57h/full/full/0/default.jpg","[{""x"":0,""y"":72.135,""width"":100,""height"":25.47,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":4256,""original_height"":4829},{""x"":0.025000000000002798,""y"":0.12000000000000344,""width"":99.21,""height"":72.22,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":4256,""original_height"":4829}]","",11,"JJ133","2026-06-22T11:18:08.822410Z"
