"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
1561,"1","2025-07-04T12:21:53.392386Z",1548,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v5yr2bs914f4/full/1200,/0/default.jpg","",66.898,"2025-07-04T12:21:53.392386Z"
6659,"1","2025-08-05T09:20:30.457065Z",1549,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vberg38xzdfv/full/1200,/0/default.jpg","[{""x"":0.9750000000000036,""y"":1.5349999999999975,""width"":99.03,""height"":96.27000000000001,""rotation"":0,""rectanglelabels"":[""Table""],""original_width"":1200,""original_height"":1821}]",108.84500000000001,"2025-08-05T09:20:30.457065Z"
6660,"1","2025-08-05T09:24:15.449928Z",1550,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vzugp0huobbb/full/1200,/0/default.jpg","[{""x"":5.015000000000002,""y"":42.955,""width"":94.57,""height"":14.17,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1720},{""x"":5.640000000000006,""y"":2.0050000000000012,""width"":94.1,""height"":41.349999999999994,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1720},{""x"":4.395000000000005,""y"":56.59,""width"":94.35,""height"":40.6,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1720}]",62.991,"2025-08-05T09:24:15.449928Z"
3657,"1","2025-07-17T12:10:18.216595Z",1551,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vnj5o8mpt8ra/full/1200,/0/default.jpg","[{""x"":0.05999999999999894,""y"":38.385000000000005,""width"":99.94,""height"":44.51,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1656},{""x"":0.10499999999999399,""y"":0.44500000000000095,""width"":99.89,""height"":38.87,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1656},{""x"":0.04500000000000055,""y"":82.71838577291383,""width"":99.72999999999998,""height"":15.241614227086206,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1656}]",6.96,"2025-07-17T12:10:18.216595Z"
6661,"1","2025-08-05T09:24:24.687797Z",1552,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vgpq489e1mdv/full/1200,/0/default.jpg","[{""x"":0.004999999999999449,""y"":0.7200000000000012,""width"":99.87,""height"":35.14,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1697},{""x"":0.004999999999999449,""y"":80.97,""width"":99.87,""height"":16.66,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1697},{""x"":0.07500000000000284,""y"":53.57999999999999,""width"":99.83,""height"":15.5,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1697},{""x"":1.1649999999999994,""y"":35.01499999999999,""width"":98.71,""height"":18.709999999999997,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1697},{""x"":0.004999999999999449,""y"":68.745,""width"":99.89,""height"":12.21,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1697}]",17.933999999999997,"2025-08-05T09:24:24.687797Z"
6662,"1","2025-08-05T09:28:25.574221Z",1553,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v32wkxkw9vjs/full/1200,/0/default.jpg","[{""x"":0.02000000000000335,""y"":23.684999999999995,""width"":99.42,""height"":74.45,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1661},{""x"":0.08500000000000174,""y"":1.8149999999999986,""width"":99.22999999999999,""height"":22.349999999999998,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1661}]",17.404999999999998,"2025-08-05T09:28:25.574221Z"
6663,"1","2025-08-05T09:28:30.540439Z",1554,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/v181nxuvo5cd/full/1200,/0/default.jpg","[{""x"":0.5350000000000021,""y"":66.74,""width"":99.33,""height"":31.8,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1697},{""x"":0.5100000000000049,""y"":1.1250000000000009,""width"":99.33999999999999,""height"":48.13,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1697},{""x"":2.695000000000003,""y"":47.99,""width"":97.15,""height"":20,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1697}]",3.017,"2025-08-05T09:28:30.540439Z"
6664,"1","2025-08-05T09:28:35.551149Z",1555,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvhm4vor8jub/full/1200,/0/default.jpg","[{""x"":-0.004999999999999449,""y"":62.72,""width"":99.69,""height"":34.82,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1661},{""x"":0,""y"":44.42,""width"":99.8,""height"":18.56,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1661},{""x"":0.004999999999999449,""y"":27.845,""width"":99.42999999999999,""height"":16.63,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1661},{""x"":-0.004999999999999449,""y"":13.929999999999998,""width"":98.75,""height"":14.44,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1661},{""x"":0.034999999999996145,""y"":2.935,""width"":99.07000000000001,""height"":11.01,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1661}]",2.925,"2025-08-05T09:28:35.551149Z"
3670,"1","2025-07-18T08:10:21.858946Z",1556,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vgf80bhwvax3/full/1200,/0/default.jpg","[{""x"":0,""y"":62.768373493975915,""width"":99.9,""height"":35.56662650602404,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1731},{""x"":0.06000000000002248,""y"":21.383398778503295,""width"":99.93999999999998,""height"":41.48,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1731},{""x"":4.440892098500626e-15,""y"":0.7608193715129143,""width"":100,""height"":20.880000000000003,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1731}]",38.897,"2025-07-29T09:24:46.979493Z"
5772,"1","2025-07-29T09:25:05.861249Z",1557,"https://iiif.irht.cnrs.fr/iiif/ark:/63955/vcl07hpct37b/full/1200,/0/default.jpg","[{""x"":0,""y"":18.065000000000005,""width"":98.86,""height"":23.61,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1668},{""x"":-0.0050000000000050004,""y"":1.435,""width"":99.05000000000001,""height"":16.77,""rotation"":0,""rectanglelabels"":[""AF""],""original_width"":1200,""original_height"":1668},{""x"":0,""y"":41.75,""width"":99.18,""height"":34.32,""rotation"":0,""rectanglelabels"":[""AC""],""original_width"":1200,""original_height"":1668},{""x"":0.025000000000002787,""y"":75.87240963855425,""width"":99.71000000000001,""height"":21.977590361445806,""rotation"":0,""rectanglelabels"":[""AI""],""original_width"":1200,""original_height"":1668}]",10.78,"2025-07-29T09:25:05.861249Z"
