zone_id	image_id	volume	folio_sort_key	folio_label	folio_norm	class_id	class_name	abs_x	abs_y	abs_w	abs_h	x_pct	y_pct	w_pct	h_pct	url_image_full	image_filename	image_width_px	image_height_px
1	3	JJ200	3	1r	1r	1	AI	6	3	1194	1419	0.485	0.18	99.51	99.82	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vlnsr0equbys/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vlnsr0equbys/full/1200,/0/default.jpg	1200	1422
2	4	JJ200	4	1v	1v	2	AF	1	0	1197	502	0.1	0.01	99.72	37.08	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm3ve3icqw2h/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm3ve3icqw2h/full/1200,/0/default.jpg	1200	1355
3	4	JJ200	4	1v	1v	1	AI	0	502	1198	846	0.0	37.08	99.86	62.46	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm3ve3icqw2h/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vm3ve3icqw2h/full/1200,/0/default.jpg	1200	1355
4	5	JJ200	5	2r	2r	3	AM	2	1	1198	1458	0.17	0.085	99.8	99.87	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxnv80kx42jr/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vxnv80kx42jr/full/1200,/0/default.jpg	1200	1460
5	6	JJ200	6	2v	2v	2	AF	2	1	1198	1092	0.15500000000000003	0.07000000000000002	99.84499999999993	79.7505252255921	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvbr91mlze72/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvbr91mlze72/full/1200,/0/default.jpg	1200	1369
6	6	JJ200	6	2v	2v	1	AI	0	1113	1200	254	0.0	81.335	100.0	18.57	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvbr91mlze72/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vvbr91mlze72/full/1200,/0/default.jpg	1200	1369
7	7	JJ200	7	3r	3r	2	AF	0	1	1198	713	0.005	0.04	99.81	48.92	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vam6syxo1fmp/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vam6syxo1fmp/full/1200,/0/default.jpg	1200	1458
8	7	JJ200	7	3r	3r	1	AI	0	713	1198	744	0.0	48.935	99.82	51.03	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vam6syxo1fmp/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vam6syxo1fmp/full/1200,/0/default.jpg	1200	1458
9	8	JJ200	8	3v	3v	2	AF	3	0	1196	1091	0.215	0.005	99.65	79.47	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbvqvsuxbmsm/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbvqvsuxbmsm/full/1200,/0/default.jpg	1200	1373
10	8	JJ200	8	3v	3v	1	AI	1	1078	1197	295	0.095	78.51	99.77	21.48	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbvqvsuxbmsm/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vbvqvsuxbmsm/full/1200,/0/default.jpg	1200	1373
11	9	JJ200	9	4r	4r	3	AM	2	0	1197	1450	0.19	0.0	99.76	99.74	https://iiif.irht.cnrs.fr/iiif/ark:/63955/ve2n0onfvpph/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/ve2n0onfvpph/full/1200,/0/default.jpg	1200	1454
12	10	JJ200	10	4v	4v	2	AF	8	0	1192	186	0.665	0.015	99.33	13.89	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vwigu7i9t8ko/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vwigu7i9t8ko/full/1200,/0/default.jpg	1200	1339
13	10	JJ200	10	4v	4v	1	AI	16	185	1184	1154	1.32	13.81	98.68	86.16	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vwigu7i9t8ko/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vwigu7i9t8ko/full/1200,/0/default.jpg	1200	1339
14	11	JJ200	11	5r	5r	2	AF	3	0	1196	452	0.27	0.0	99.7	30.12	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyfhtdtg6fu9/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyfhtdtg6fu9/full/1200,/0/default.jpg	1200	1500
15	11	JJ200	11	5r	5r	1	AI	2	449	1198	1048	0.125	29.915	99.85	69.89	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyfhtdtg6fu9/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vyfhtdtg6fu9/full/1200,/0/default.jpg	1200	1500
16	12	JJ200	12	5v	5v	3	AM	6	3	1194	1429	0.48	0.18	99.52	99.62	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3vxqasg0adj/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v3vxqasg0adj/full/1200,/0/default.jpg	1200	1434
17	13	JJ200	13	6r	6r	2	AF	1	0	1199	1498	0.065	0.02	99.93	99.88	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vr7q9gji18gh/full/1200,/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/vr7q9gji18gh/full/1200,/0/default.jpg	1200	1500
18	15	JJ200	15	7r	7r	1	AI	9	0	1201	1200	0.72	0.0	94.48	100.0	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7tr0asanb2v/full/,1200/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v7tr0asanb2v/full/,1200/0/default.jpg	1271	1200
19	16	JJ200	16	7v	7v	2	AF	10	1	1249	199	0.79	0.055	99.12	16.57	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1cbluduaujk/full/,1200/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1cbluduaujk/full/,1200/0/default.jpg	1260	1200
20	16	JJ200	16	7v	7v	1	AI	7	199	1253	1001	0.52	16.56	99.48	83.44	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1cbluduaujk/full/,1200/0/default.jpg	https://iiif.irht.cnrs.fr/iiif/ark:/63955/v1cbluduaujk/full/,1200/0/default.jpg	1260	1200
